Model,Average Reward,Stability,Computation Time
DQN Model-Free,257.0,110.89183919477574,10952.298331975937
DQN Exploitation,252.48,147.48237047186353,10766.112784147263
DQN Exploration,256.12,128.2066519335093,9205.606376171112
DQN Hyperparameters,248.14,97.05019525997874,35788.864256858826
Double DQN,253.88,112.59549546940144,10981.620006799698
Q-learning,252.92,96.31133681971194,9650.085550785065
